ID,Item,Brand,Category,Price/Unit,Featured,Image,Description
1,Oven Scrub Cleaner: 100% Natural - Eco-Friendly Cleaner | Natural Products,CleaningStudio,Cleaning,18,FALSE,OvenScrub,"100% Natural Oven Scrub, made in small batches, approved by Professional Cleaners & Safe for your family, pets and your home."
2,Toilet Teas- Lemongrass_Orange,TerraViam,Cleaning,12,FALSE,ToiletTeas,"Free Shipping. Refills. Toilet Teas. These nifty tablets help to keep your bathroom smelling fresh as a daisy while it is ""occupied""."
3,Natural Cleaner and Degreaser 16 oz,Citra Solv,Cleaning,19,FALSE,NaturalCleaner,"General purpose cleaner.
For your toughest stains, grease and everyday cleaning.
Crueltyfree and vegan.
Country of origin is United State."
4,Pure Castile Soap 32 oz.,Dr. Bronners,Cleaning,19,FALSE,PureCastile,"Our most popular scent, with a peppermint burst so pure it tingles! Scented with organic peppermint oil to cool skin, clear sinuses and sharpen mind. Our Peppermint Pure-Castile Liquid Soap is concentrated, biodegradable, versatile and effective. Made with organic and certified fair trade ingredients. Organic hemp oil is now sourced in the U.S. following hemp legalization! Packaged in a 100% post-consumer recycled bottle. All-One"
5,Sal Sud All-Purpose Cleaner 32 oz,Dr. Bronners,Cleaning,14,FALSE,SalSud,"VERSATILE ALL-PURPOSE CLEANER: Dr. Bronner’s Sal Suds Biodegradable Cleaner is powerful & concentrated enough to clean floors, laundry, dishes, furniture, & cars—but gently formulated so it won’t irritate skin! The very best for home & Earth!"
6,"Earth Friendly Products ECOS Oxo-Brite, Color-Safe Whitener & Brightener, 57.6-Ounces (3.6 LB.) (Pack of 2)",Ecos,Cleaning,25,FALSE,OxoBrite,"Fragrance-free. Removes mold and mildew stains. Works on a variety of materials, stains and odors (do not use on wool, silk or leather). Made of replenishable/sustainable ingredients"
7,"Mrs. Meyer’s Clean Day Liquid Dish Soap, Lemon Verbena, 16 ounce bottle",Mrs. Meyers,Cleaning,4,FALSE,CleanDay,"Dishwasher detergent that cuts through grease while keeping dishes clean and bright. Contains plant-derived cleaning ingredients to make grease disappear. Biodegradable dish soap designed for hand washing dishes, pots, and pans. Garden-fresh Lemon Verbena has a light, refreshingly mild citrus scent. Mrs. Meyer's produces cruelty free dish soaps. None of our products are tested on animals."
8,Platinum (1 oz),Heavy Metal Magic,Precious Metals,1181,TRUE,Platinum,"Platinum is a chemical element with the symbol Pt and atomic number 78. It is a dense, malleable, ductile, highly unreactive, precious, silverish-white transition metal. Its name is derived from the Spanish term platino, meaning ""little silver""."
9,Gold(1 oz),Heavy Metal Magic,Precious Metals,1883,FALSE,Gold,"Gold is a chemical element with the symbol Au (from Latin: aurum) and atomic number 79, making it one of the higher atomic number elements that occur naturally. In a pure form, it is a bright, slightly reddish yellow, dense, soft, malleable, and ductile metal. Chemically, gold is a transition metal and a group 11 element. It is one of the least reactive chemical elements and is solid under standard conditions. Gold often occurs in free elemental (native) form, as nuggets or grains, in rocks, in veins, and in alluvial deposits. It occurs in a solid solution series with the native element silver (as electrum), naturally alloyed with other metals like copper and palladium and also as mineral inclusions such as within pyrite. Less commonly, it occurs in minerals as gold compounds, often with tellurium (gold tellurides)"
10,Silver,Heavy Metal Magic,Precious Metals,28,FALSE,Silver,"Silver is a chemical element with the symbol Ag (from the Latin argentum, derived from the Proto-Indo-European h?er?: ""shiny"" or ""white"") and atomic number 47. A soft, white, lustrous transition metal, it exhibits the highest electrical conductivity, thermal conductivity, and reflectivity of any metal.[citation needed] The metal is found in the Earth's crust in the pure, free elemental form (""native silver""), as an alloy with gold and other metals, and in minerals such as argentite and chlorargyrite. Most silver is produced as a byproduct of copper, gold, lead, and zinc refining."
